Filename,bnDist,bnVehi,tabuDist,tabuVehi,dDist,dVehi,constructDist,constructVehi,dcDist,dcVehi,iterations
C1_2_1.TXT,2704.57,20,3140.589999999995,20,-436.019999999995,0,3140.589999999995,20,0.0,0,12317
C1_2_10.TXT,2643.51,18,4041.3899999999985,20,-1397.8799999999983,-2,4093.1099999999988,20,51.720000000000255,0,1763123
C1_2_2.TXT,2917.89,18,4192.649999999998,22,-1274.759999999998,-4,4192.649999999998,22,0.0,0,1083297
C1_2_3.TXT,2707.35,18,4376.749999999999,20,-1669.3999999999992,-2,4376.749999999999,20,0.0,0,1434100
C1_2_4.TXT,2643.31,18,3871.359999999997,20,-1228.049999999997,-2,3872.779999999997,20,1.4200000000000728,0,3094983
C1_2_5.TXT,2702.05,20,4033.949999999996,22,-1331.899999999996,-2,4033.949999999996,22,0.0,0,403316
C1_2_6.TXT,2701.04,20,4782.389999999997,24,-2081.3499999999967,-4,4784.079999999996,24,1.6899999999995998,0,965443
C1_2_7.TXT,2701.04,20,4363.6399999999985,23,-1662.5999999999985,-3,4363.6399999999985,23,0.0,0,1120576
C1_2_8.TXT,2775.48,19,4073.5799999999977,22,-1298.0999999999976,-3,4073.5799999999977,22,0.0,0,1255076
C1_2_9.TXT,2687.83,18,4373.699999999998,21,-1685.869999999998,-3,4373.699999999998,21,0.0,0,1765162
C2_2_1.TXT,1931.44,6,2245.759999999999,8,-314.3199999999988,-2,2245.759999999999,8,0.0,0,532530
C2_2_10.TXT,1806.58,6,3211.5799999999967,7,-1404.9999999999968,-1,3211.5799999999967,7,0.0,0,2095221
C2_2_2.TXT,1863.16,6,3369.0299999999975,7,-1505.8699999999974,-1,3379.349999999997,7,10.319999999999709,0,610640
C2_2_3.TXT,1775.08,6,3406.6799999999994,7,-1631.5999999999995,-1,3406.6799999999994,7,0.0,0,1429977
C2_2_4.TXT,1703.43,6,3439.56,7,-1736.1299999999999,-1,3439.56,7,0.0,0,2857814
C2_2_5.TXT,1878.85,6,2900.5799999999977,7,-1021.7299999999977,-1,2931.009999999998,7,30.43000000000029,0,960536
C2_2_6.TXT,1857.35,6,3212.3999999999983,8,-1355.0499999999984,-2,3218.2299999999987,8,5.830000000000382,0,2708375
C2_2_7.TXT,1849.46,6,3179.0699999999993,8,-1329.6099999999992,-2,3197.519999999999,8,18.449999999999818,0,2496266
C2_2_8.TXT,1820.53,6,3141.9699999999993,7,-1321.4399999999994,-1,3142.7999999999993,7,0.8299999999999272,0,1695541
C2_2_9.TXT,1830.05,6,3323.049999999998,7,-1492.999999999998,-1,3326.4399999999982,7,3.3900000000003274,0,1831592
R1_2_1.TXT,4784.11,20,6361.970000000001,24,-1577.8600000000015,-4,6361.970000000001,24,0.0,0,836062
R1_2_10.TXT,3301.18,18,5380.739999999999,18,-2079.559999999999,0,5380.739999999999,18,0.0,0,1039535
R1_2_2.TXT,4039.86,18,6206.020000000001,24,-2166.160000000001,-6,6206.020000000001,24,0.0,0,1411433
R1_2_3.TXT,3381.96,18,5921.000000000005,24,-2539.0400000000045,-6,5933.330000000005,24,12.330000000000837,0,2097106
R1_2_4.TXT,3057.81,18,5658.650000000003,22,-2600.8400000000033,-4,5676.560000000002,22,17.909999999998945,0,3091002
R1_2_5.TXT,4107.86,18,5699.120000000003,22,-1591.260000000003,-4,5787.930000000003,22,88.8100000000004,0,1027587
R1_2_6.TXT,3583.14,18,5806.160000000001,21,-2223.020000000001,-3,5806.160000000001,21,0.0,0,1355882
R1_2_7.TXT,3150.11,18,5673.86,20,-2523.7499999999995,-2,5673.86,20,0.0,0,2534902
R1_2_8.TXT,2951.99,18,5095.740000000002,19,-2143.750000000002,-1,5169.740000000002,19,74.0,0,3394854
R1_2_9.TXT,3760.58,18,6015.049999999995,20,-2254.469999999995,-2,6015.359999999995,20,0.3100000000004002,0,1510693
R2_2_1.TXT,4483.16,4,6384.130000000003,5,-1900.970000000003,-1,6384.130000000003,5,0.0,0,740944
R2_2_10.TXT,2654.97,4,5206.980000000003,4,-2552.0100000000034,0,5206.980000000003,4,0.0,0,1768245
R2_2_2.TXT,3621.2,4,6284.89,5,-2663.6900000000005,-1,6310.1,5,25.210000000000036,0,1264533
R2_2_3.TXT,2880.62,4,5534.72,5,-2654.1000000000004,-1,5534.72,5,0.0,0,2608793
R2_2_4.TXT,1981.29,4,5377.16,4,-3395.87,0,4532.3,5,-844.8599999999997,1,3282166
R2_2_5.TXT,3366.79,4,5973.900000000001,5,-2607.1100000000006,-1,5999.340000000001,5,25.44000000000051,0,2041713
R2_2_6.TXT,2913.03,4,5839.010000000005,5,-2925.9800000000046,-1,5839.010000000005,5,0.0,0,2668879
R2_2_7.TXT,2451.14,4,5011.919999999999,5,-2560.7799999999993,-1,5011.919999999999,5,0.0,0,3309057
R2_2_8.TXT,1849.87,4,4970.370000000001,4,-3120.500000000001,0,4195.040000000001,4,-775.3299999999999,0,3338824
R2_2_9.TXT,3092.04,4,5966.840000000003,5,-2874.800000000003,-1,5966.840000000003,5,0.0,0,2812492
